 Site,Site code,DecdegS,DecdegE,Country,Province or district,RFZ,Biome,Stratigraphic context,Dating technique,Material dated, Species,Lab ID,Date,Uncertainty,Archaeological Period,Archaeological Sub-chronology,Sample context,Site Type,delta 13,refcode,Notes
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Z8a/+10,AMS,charcoal,,KIA35915,12900,50,LSA,,,rock shelter,,vogelsang2010ems,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Z8/+-0,AMS,charcoal,,KIA35916,14230,55,LSA,,,rock shelter,,vogelsang2010ems,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Z8/-10,AMS,charcoal,,KIA35917,24150,150,MSA,Final MSA,,rock shelter,,vogelsang2010ems,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,E (lower),conventional 14C,charcoal,,KN-2115,32700,860,MSA,,,rock shelter,,freundlich1980rm,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,,conventional 14C,charcoal,,KN-4042,18650,170,LSA,ELSA,,rock shelter,,vogelsang2010ems,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,,conventional 14C,charcoal,,KN-4067,17380,160,LSA,ELSA,,rock shelter,,vogelsang2010ems,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,,conventional 14C,charcoal,,KN-4068,25600,800,MSA,Final MSA,,rock shelter,,vogelsang2010ems,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,E (upper),conventional 14C,charcoal,,KN-I 2056,28400,450,MSA,Final MSA,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,D (base),conventional 14C,charcoal,,KN-I 2057,18660,210,LSA,ELSA,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer D,conventional 14C,charcoal,,KN-I 612,13690,120,LSA,,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer D,conventional 14C,charcoal,,KN-I 613,14550,60,LSA,,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer D,conventional 14C,charcoal,,KN-I 614,13030,100,LSA,,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer D,conventional 14C,charcoal,,KN-I 811,13470,125,LSA,,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,D (base),conventional 14C,charcoal,,KN-I 812,19760,175,LSA,ELSA,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,E (upper),conventional 14C,charcoal,,KN-I 813,26700,650,MSA,Final MSA,,rock shelter,,wendt1976mas,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer A:B8/+55,conventional 14C,charcoal,,KN-I-608,490,45,LSA,Final LSA,,rock shelter,,freundlich1980rm,
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer C,conventional 14C,charcoal,,KN-I-609,6200,65,LSA,,,rock shelter,,freundlich1980rm,microlithic LSA
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer C,conventional 14C,,,KN-I-610,9430,90,LSA,,,rock shelter,,freundlich1980rm,microlithic LSA
Apollo 11 Cave,A11,-27.750,17.100,Namibia,||Karas Region,S,Desert Biome,Layer C,conventional 14C,charcoal,,KN-I-611,10420,80,LSA,,,rock shelter,,freundlich1980rm,microlithic LSA
